epoch,class_output_accuracy,class_output_loss,loss,nutrition_output_loss,nutrition_output_mae,val_class_output_accuracy,val_class_output_loss,val_loss,val_nutrition_output_loss,val_nutrition_output_mae
20,0.5355775356292725,2.1000521183013916,2.1009514331817627,0.010388823226094246,0.010388053953647614,0.5239207744598389,2.121530055999756,2.1209583282470703,0.010646523907780647,0.010648949071764946
21,0.5414257645606995,2.0708632469177246,2.0713789463043213,0.01026141457259655,0.010260934010148048,0.5468118786811829,2.0303895473480225,2.0308170318603516,0.009876221418380737,0.009868885390460491
22,0.5471551418304443,2.0490193367004395,2.0497119426727295,0.01016183290630579,0.010160175152122974,0.562772274017334,1.9785350561141968,1.978607177734375,0.00975948479026556,0.009758903644979
23,0.5568976998329163,2.0143425464630127,2.015416383743286,0.010012205690145493,0.010012058541178703,0.5540990233421326,2.006998300552368,2.0090184211730957,0.009999296627938747,0.010004300624132156
24,0.5619537830352783,1.9954774379730225,1.9960416555404663,0.009900751523673534,0.0098961740732193,0.565227746963501,1.9547706842422485,1.9571144580841064,0.009538429789245129,0.009547152556478977
25,0.5691617131233215,1.9680910110473633,1.9686455726623535,0.00977837573736906,0.009777802973985672,0.542178213596344,2.0661025047302246,2.068237066268921,0.010222728364169598,0.010226801037788391
26,0.5751947164535522,1.9480358362197876,1.9488166570663452,0.009684218093752861,0.0096821254119277,0.5984554290771484,1.8437515497207642,1.8432068824768066,0.008991217240691185,0.008994759991765022
27,0.5806996822357178,1.9242582321166992,1.9250961542129517,0.009552492760121822,0.009549620561301708,0.5901781916618347,1.8799736499786377,1.8820459842681885,0.008946244604885578,0.008949855342507362
28,0.5886204838752747,1.898023247718811,1.8987476825714111,0.00944905262440443,0.009448949247598648,0.5763960480690002,1.9376816749572754,1.9400678873062134,0.009449329227209091,0.009457510896027088
29,0.5939142107963562,1.8751918077468872,1.8756487369537354,0.009333297610282898,0.009331402368843555,0.5743366479873657,1.942704200744629,1.944719672203064,0.00934522319585085,0.009352972730994225
30,0.5951287150382996,1.8669588565826416,1.8676674365997314,0.009280839003622532,0.009281010366976261,0.5819010138511658,1.9210717678070068,1.9236425161361694,0.009089769795536995,0.00909836869686842
31,0.6026138663291931,1.8455969095230103,1.8464723825454712,0.009194644168019295,0.009194995276629925,0.5913663506507874,1.8892499208450317,1.891092300415039,0.009002613835036755,0.009001048281788826
32,0.6063498258590698,1.8291065692901611,1.8301881551742554,0.009084177203476429,0.00908528733998537,0.5779802203178406,1.9259473085403442,1.9272468090057373,0.009152519516646862,0.009156023152172565
33,0.631749153137207,1.7413874864578247,1.7421278953552246,0.008699094876646996,0.008698075078427792,0.6159999966621399,1.8028361797332764,1.8051224946975708,0.008448826149106026,0.008454740978777409
